"ocid","release_id","id","awardID","title","description","status","contractPeriod_startDate","contractPeriod_endDate","contractPeriod_maxExtentDate","contractPeriod_durationInDays","amount","currency","dateSigned"
"ocds-5wno2w-RE-PU-CAPESM-2025-002-45683","RE-PU-CAPESM-2025-002-45683-2025-05-29T15:29:57.365Z-compiled","2264852-RE-PU-CAPESM-2025-002","8069985-RE-PU-CAPESM-2025-002","","","terminated","2025-05-28T00:00:00-05:00","2026-01-28T00:00:00-05:00","","245","3324.83","USD","2025-05-28T00:00:00-05:00"
"ocds-5wno2w-RE-PU-SEDMQ-2025-00001-369703","RE-PU-SEDMQ-2025-00001-369703-2025-06-14T16:06:05.448Z-compiled","2267308-RE-PU-SEDMQ-2025-00001","8089730-RE-PU-SEDMQ-2025-00001","","","terminated","2025-06-12T00:00:00-05:00","2026-06-12T00:00:00-05:00","","365","2160.00","USD","2025-06-12T00:00:00-05:00"
"ocds-5wno2w-RE-PU-UNACH-2025-002-124774","RE-PU-UNACH-2025-002-124774-2025-06-23T16:57:01.278Z-compiled","2268662-RE-PU-UNACH-2025-002","8110978-RE-PU-UNACH-2025-002","","","terminated","2025-06-23T00:00:00-05:00","2025-07-03T00:00:00-05:00","","10","6985.26","USD","2025-06-23T00:00:00-05:00"
"ocds-5wno2w-RE-PU-CCQAHDEJL-2025-01-110887","RE-PU-CCQAHDEJL-2025-01-110887-2025-06-26T16:27:31.491Z-compiled","2269227-RE-PU-CCQAHDEJL-2025-01","8125334-RE-PU-CCQAHDEJL-2025-01","","","terminated","2025-06-18T00:00:00-05:00","2026-06-18T00:00:00-05:00","","365","39900.00","USD","2025-06-18T00:00:00-05:00"
"ocds-5wno2w-RE-PU-CARCHI-2025-001-2481","RE-PU-CARCHI-2025-001-2481-2025-07-03T17:28:51.791Z-compiled","2270168-RE-PU-CARCHI-2025-001","8111142-RE-PU-CARCHI-2025-001","","","terminated","2025-06-27T00:00:00-05:00","2025-09-25T00:00:00-05:00","","90","18970.00","USD","2025-06-19T00:00:00-05:00"
"ocds-5wno2w-RE-PU-EEGA-2025-002-3217","RE-PU-EEGA-2025-002-3217-2025-07-12T17:13:17.460Z-compiled","2271393-RE-PU-EEGA-2025-002","8115606-RE-PU-EEGA-2025-002","","","terminated","2025-07-09T00:00:00-05:00","2028-06-08T00:00:00-05:00","","1065","2370000.00","USD","2025-07-09T00:00:00-05:00"
"ocds-5wno2w-RE-PU-EPMMQ-2025-002-410205","RE-PU-EPMMQ-2025-002-410205-2025-07-15T16:57:35.063Z-compiled","2271703-RE-PU-EPMMQ-2025-002","8116194-RE-PU-EPMMQ-2025-002","","","terminated","2025-06-27T00:00:00-05:00","2026-01-23T00:00:00-05:00","","210","3724000.00","USD","2025-06-25T00:00:00-05:00"
"ocds-5wno2w-RE-PU-MEF-2025-003-2468","RE-PU-MEF-2025-003-2468-2025-07-01T17:39:16.151Z-compiled","2269888-RE-PU-MEF-2025-003","8135421-RE-PU-MEF-2025-003","","","terminated","2025-06-25T00:00:00-05:00","2026-06-25T00:00:00-05:00","","365","697069.30","USD","2025-06-25T00:00:00-05:00"
"ocds-5wno2w-RE-PU-HEJCA-2025-044-87497","RE-PU-HEJCA-2025-044-87497-2025-05-29T15:29:56.590Z-compiled","2264792-RE-PU-HEJCA-2025-044","8061666-RE-PU-HEJCA-2025-044","","","terminated","2025-05-27T00:00:00-05:00","2025-09-24T00:00:00-05:00","","120","652451.40","USD","2025-05-27T00:00:00-05:00"
"ocds-5wno2w-RE-PU-HGNGC-2025-001-818925","RE-PU-HGNGC-2025-001-818925-2025-08-12T22:30:47.047Z-compiled","2273271-RE-PU-HGNGC-2025-001","8117097-RE-PU-HGNGC-2025-001","","","terminated","2025-07-10T00:00:00-05:00","2026-07-10T00:00:00-05:00","","365","340799.79","USD","2025-06-25T00:00:00-05:00"
